row_number	zip_code	location
1	78704	&00 LAMAR
2	78701	0800 N IH 35
3	78702	090 BLOCK MILDRED STREET
4	99999	0 ALAGRITA / S IH 35 SB
5	99999	0 BASTROP SB
6	99999	0 BLOCK N LAMAR SB ANDERSON WB RAMP
7	78613	0 BLOCK OF RESEARCH BOULEVARD
8	78701	0 BRACKENRIDGE EMERGENCY ACCESS
9	99999	0 E 12TH TO IH 35 NB RAMP
10	99999	0 IH 35 SVRD SB
11	99999	0 MCNEIL DR
12	99999	0 MONTOPOLIS DR
13	99999	0 MOPAC EXPY SB TO RESEARCH SB
14	78750	0 N 183 HWY TO LAKELINE
15	99999	0 N 183 TO LAKELINE MALL RAMP
16	99999	0 N IH 35 SB AT RUNDBERG TRN
17	99999	0 RESEARCH SB TO MCCANN RAMP
18	78744	0 S IH 35 NB
19	78701	0 SOUITH I H 35
20	99999	0 TO 0 NORTH IH 35 SERVICE ROAD AT APT T
21	99999	0 TO 15TH STREET
22	99999	0 W BEN WHITE SVRD EB
23	99999	1
24	99999	100000 BLOCK NORTH MOPAC
25	99999	100000 BLOCK NORTH MOPAC EXPRESSWAY
26	78758	100000 BLOCK RESEARCH BOULEVARD SERVICE
27	99999	100000 S IH 35 NB
28	99999	10000-10600 N MOPAC SVRD NB
29	78759	10000-11000 BLOCK RESEARCH BOULEVARD
30	99999	10000-11000 N MOPAC NB
31	99999	10000-11300 N IH 35 NB
32	78747	10000 183
33	78759	10000 360
34	78736	10000-9900 BLOCK EAST US 290
35	78750	10000 ANDERSON MILL RD
36	78750	10000 ANDERSON MILL ROAD
37	78753	10000 ANNIE OAKLEY TRL
38	78759	10000 BKICJ CAOUTAK IF TEXAS HIGHWAY
39	78758	10000 BLK BURNETT RD
40	78754	10000 BLK DESSAU RD
41	78748	10000 BLK MANCHACA RD
42	78753	10000 BLK N. IH 35
43	78753	10000 BLK N. IH-35
44	99999	10000 BLK N IH 35 SB
45	78753	10000 BLK S IH 35
46	99999	10000 BLK S IH 35 NB
47	78753	10000 BLOCK 290 SERVICE ROAD
48	78750	10000 BLOCK ANDERSON MILL ROAD
49	99999	10000 BLOCK BLK S IH 35 NB
50	99999	10000 BLOCK BLK S IH 35 SB
51	78749	10000 BLOCK BRODIE LANE
52	78753	10000 BLOCK BROWNIE DRIVE
53	78617	10000 BLOCK BURLESON RD
54	78758	10000 BLOCK BURNET
55	78758	10000 BLOCK BURNET RD
56	78758	10000 BLOCK BURNET ROAD
57	78758	10000 BLOCK BURNET ROAD AT
58	78759	10000 BLOCK CAPITAL OF TEXAS
59	78759	10000 BLOCK CAPITAL OF TEXAS HIGHWAY
60	78759	10000 BLOCK DEAN KEETON STREET
61	78754	10000 BLOCK DESSAU RD
62	78754	10000 BLOCK DESSAU ROAD
63	78753	10000 BLOCK DIAMONDBACK TRAIL
64	78753	10000 BLOCK EAST DEAN KEATON STREET
65	78753	10000 BLOCK EAST HIGHWAY 71
66	78753	10000 BLOCK EAST HWY  290 SERVICE ROAD
67	78736	10000 BLOCK EAST US 290
68	78737	10000 BLOCK EAST U S HIGHWAY 290
69	78737	10000 BLOCK EAST U S HIGHWAY  290
70	78737	10000 BLOCK EAST US HIGHWAY 290
71	78737	10000  BLOCK EAST U S HWY 290
72	78737	10000 BLOCK EAST U S HWY 290
73	78737	10000 BLOCK EAST US HWY 290 SERVICE ROAD
74	99999	10000 BLOCK E HWY 290 SVC
75	78749	10000 BLOCK ESCARPMENT BOULEVARD
76	99999	10000 BLOCK E US HWY 290 SVRD EB
77	78737	10000 BLOCK FM 2222
78	78758	10000 BLOCK GOLDEN MEADOW DRIVE
79	78759	10000 BLOCK GREAT HILLS TRAIL
80	78759	10000 BLOCK GREAT HILLS TRL
81	78754	10000 BLOCK HARRIS BRANCH PARKWAY
82	78750	10000 BLOCK HIDDEN MEADOW DR
83	78719	10000 BLOCK HOTEL DRIVE
84	78753	10000 BLOCK I H 35
85	78748	10000 BLOCK IH 35
86	78753	10000 BLOCK IH 35 SERVICE ROAD
87	78717	10000 BLOCK IVALENES HOPE DRIVE
88	78759	10000 BLOCK JOLLYVILLE ROAD
89	78729	10000 BLOCK LAKE CREEK
90	78729	10000 BLOCK LAKE CREEK BOULEVARD
91	78729	10000 BLOCK LAKE CREEK PARKWAY
92	78717	10000 BLOCK LAKELINE BLVD
93	78717	10000 BLOCK LAKELINE BOULEVARD
94	78753	10000 BLOCK LAMAR BOUEVARD
95	78759	10000 BLOCK LOOP 360
96	78748	10000 BLOCK MANCHACA RD.
97	78748	10000 BLOCK MANCHACA ROAD
98	78750	10000 BLOCK MELLOW MEADOW DRIVE
99	78758	10000 BLOCK METRIC BOULEVARD
100	78758	10000 BLOCK METROPLOLITAN
101	78752	10000 BLOCK MIDDLE FISKVILLE ROAD
102	78739	10000 BLOCK MO PAC
103	78739	10000 BLOCK MOPAC EXPRESSWAY
104	78759	10000 BLOCK MOPAC EXPRESSWAY SERVICE RD
105	78759	10000 BLOCK N CAPITAL OF TEXAS HWY
106	78759	10000 BLOCK N CAPITAL OF TX HWY
107	78753	10000 BLOCK N IH 35
108	99999	10000 BLOCK N IH 35 NB
109	99999	10000 BLOCK N IH 35 SVRD SB
110	78753	10000 BLOCK N LAMAR BLVD
111	78739	10000 BLOCK N MOPAC BLVD
112	78739	10000 BLOCK N MOPAC EXPY
113	78739	10000 BLOCK N. MOPAC EXPY
114	99999	10000 BLOCK N MOPAC EXPY NB
115	99999	10000 BLOCK N MOPAC EXPY SB
116	99999	10000 BLOCK N MOPAC NB
117	99999	10000 BLOCK N. MO PAC SB
118	78759	10000 BLOCK N MOPAC SVC RD
119	78759	10000 BLOCK NORTH CAPITAL OF TEXAS
120	78759	10000 BLOCK NORTH CAPITAL OF TEXAS H
121	78759	10000 BLOCK NORTH CAPITAL OF TEXAS HIGHW
122	78759	10000 BLOCK NORTH CAPITAL OF TEXAS HWY
123	78759	10000 BLOCK NORTH CAPITAL TEXAS HIGHWAY
124	78759	10000 BLOCK NORTH I35
125	78759	10000 BLOCK NORTH I 35
126	99999	10000 BLOCK NORTH IH3
127	78753	10000 BLOCK NORTH   I H 35
128	78753	10000 BLOCK NORTH I H 35
129	78753	10000 BLOCK NORTH IH 35
130	78753	10000 BLOCK NORTH IH -35
131	78753	10000 BLOCK NORTH IH-35
132	78752	10,000 BLOCK NORTH I H 35 SERVICE ROAD
133	78722	10000 BLOCK NORTH  I H35 SERVICE ROAD
134	78753	10000 BLOCK NORTH  IH 35 SERVICE ROAD
135	78753	10000 BLOCK NORTH I H 35  SERVICE ROAD
136	78753	10000 BLOCK NORTH I H 35 SERVICE ROAD
137	78753	10000 BLOCK NORTH IH 35 SERVICE ROAD
138	78753	10000 BLOCK NORTH LAMAR
139	78753	10000 BLOCK NORTH LAMAR BOULEVARD
140	78753	10,000 BLOCK NORTH MOPAC
141	78757	10000 BLOCK NORTH MOPAC
142	78757	10000 BLOCK NORTH MOPAC BOULEVARD
143	78757	10000 BLOCK NORTH MOPACE EXPRESSWAY
144	78757	10000 BLOCK  NORTH  MOPAC EXPRESSWAY
145	78757	10000 BLOCK  NORTH MOPAC EXPRESSWAY
146	78757	10000 BLOCK NO RTH MOPAC EXPRESSWAY
147	78757	10000 BLOCK NORTH MO PAC EXPRESSWAY
148	78757	10000 BLOCK NORTH MOPAC EXPRESSWAY
149	78757	10000 BLOCK  NORTH  MOPACN EXPRESSWAY
150	78759	10000 BLOCK NORTH MOPAC SERVICE ROAD
151	78759	10000 BLOCK NORTH OF MOPAC EXPRESSWAY
152	78759	10000 BLOCK NORTH SH 130
153	78644	10000 BLOCK NORTH US HIGHWAY 183
154	78757	10000 BLOCK NROTH MOPAC
155	78747	10000 BLOCK N US HWY 183
156	78750	10000 BLOCK OF ANDERSON MILL ROAD
157	78759	10000 BLOCK OF GREAT HILLS TRIAL
158	78759	10000 BLOCK OF NORTH CAPITAL OF
159	78753	10000 BLOCK OF NORTH IH 35
160	78757	10000 BLOCK OF NORTH MOPAC
161	78759	10000 BLOCK OF RESEARCH BOULEVARD
162	78748	10000 BLOCK OF SOUTH IH 35
163	99999	10000 BLOCK OF SOUTH IH 35 SERVICE ROAD
164	78758	10000 BLOCK PARKFIELD DR
165	78758	10000 BLOCK PARK FIELD DRIVE
166	78758	10000 BLOCK PARKFIELD DRIVE
167	78727	10000 BLOCK PARMER LANE
168	78727	10000 BLOCK RANCH ROAD 2222
169	78759	10000 BLOCK RESEARCH
170	99999	10000 BLOCK RESEARCH BLVD NB
171	99999	10000 BLOCK RESEARCH BLVD PROPER
172	99999	10000 BLOCK RESEARCH BLVD SB
173	78759	10000 BLOCK RESEARCH BOULEVARD
174	78759	10000 BLOCK RESEARCH BOULEVARD SERVICE
175	99999	10000 BLOCK RESEARCH LN 1 SB SVC
176	78759	10000 BLOCK RESEARCH SERVICE ROAD
177	78748	10000 BLOCK S.1ST
178	78748	10000 BLOCK SH 130 SERVICE ROAD
179	78753	10000 BLOCK S IH 35
180	99999	10000 BLOCK S IH 35 NB
181	99999	10000 BLOCK S IH 35 SB
182	78748	10000 BLOCK SOUTH 1ST STREET
183	78748	10000 BLOCK SOUTH IH35
184	78748	10000 BLOCK SOUTH  IH35
185	78748	10000 BLOCK SOUTH I H 35
186	78748	10000 BLOCK SOUTH IH 35
187	78748	10000 BLOCK SOUTH IH-35
188	99999	10000 BLOCK SOUTH IH 35 SERVICE ROAD
189	78748	10000 BLOCK SOUTH IH 35 TO
190	78748	10000 BLOCK SOUTH INTERSTATE HIGHWAY 35
191	78748	10000 BLOCK SOUTH MARY MOORE SEARIGHT
192	78754	10000 BLOCK SPRINGDALE RD
193	78759	10000 BLOCK STONELAKE BLVD
194	78759	10000 BLOCK STONELAKE BOULEVARD
195	99999	10000 BLOCK US 130 SRVD SB
196	78735	10000 BLOCK US 290 SERVICE ROAD
197	78747	10000 BLOCK U S HIGHWAY 183
